User 5%, System 6%, IOW 0%, IRQ 0%
User 6 + Nice 0 + Sys 8 + Idle 103 + IOW 0 + IRQ 0 + SIRQ 0 = 117

  PID USER     PR  NI CPU% S  #THR     VSS     RSS PCY Name
  182 shell    20   0   0% S     9  18444K    928K  fg /sbin/adbd
  186 root     20   0   0% S     1   3556K   1020K  fg /system/bin/sambad
  187 audioser 20   0   0% S    11  46736K   6460K  fg /system/bin/audioserver
  188 camerase 20   0   0% S     2  54728K  13556K  fg /system/bin/cameraserver
  189 drm      20   0   0% S     2  12988K   4008K  fg /system/bin/drmserver
  190 root     20   0   0% S     1   9708K   2360K  fg /system/bin/installd
  191 keystore 20   0   0% S     1  12620K   3144K  fg /system/bin/keystore
  192 mediacod 20   0   0% S     6  22804K   4792K  fg media.codec
  193 media    20   0   0% S     2  37292K   8156K  fg /system/bin/mediadrmserver
  195 mediaex  20   0   0% S     4  40828K   5932K  fg media.extractor
  197 root     20   0   0% S    15  26912K   3268K  fg /system/bin/netd
  199 system   20   0   0% S     1  12308K   2812K unk /system/bin/gatekeeperd
  203 root     20   0   0% S     1      0K      0K  fg kauditd
  604 system   20   0   0% S    28 1572764K  60148K  fg com.togic.settingservice
  616 u0_a14   20   0   0% S    21 1580596K  65996K  fg com.android.systemui
  632 system   20   0   0% S    18 1570304K  70076K  bg com.android.tv.settings
  645 media_rw 20   0   0% S     4  11936K   3016K  fg /system/bin/sdcard
  663 root      0 -20   0% S     1      0K      0K  fg cfg80211
  773 root     20   0   0% S     1      0K      0K  fg AR6K Async
  777 root     17  -3   0% S     1      0K      0K  fg VosWDThread
  778 root     18  -2   0% S     1      0K      0K  fg VosMCThread
  780 root     19  -1   0% S     1      0K      0K  fg VosTXThread
  781 root     19  -1   0% S     1      0K      0K  fg VosRXThread
  782 root     19  -1   0% S     1      0K      0K  fg VosTlshimRxThre
  807 u0_a6    20   0   0% S     9 1538160K  39916K  fg android.ext.services
  847 system   20   0   0% S    10 1539456K  40040K  bg com.rockchip.devicetest
  868 system   20   0   0% S    39 1574020K  49864K  fg com.doule.timeservice
  874 u0_a36   20   0   0% S    41 1130368K  98044K  fg com.togic.weboxlauncher
  882 u0_a34   20   0   0% S    27 1566600K  62600K  fg tv.doule.upgrade
  925 system   20   0   0% S    13 982984K  37112K  fg com.togic.samba
  936 system   20   0   0% S    10 1539648K  43108K  fg com.togic.middlelayer
  958 u0_a28   20   0   0% S    16 1553800K  52560K  fg com.android.inputmethod.latin
  984 system   20   0   0% S    10 1539236K  41844K  bg com.android.keychain
 1026 u0_a5    20   0   0% S    14 1553620K  55732K  bg android.process.media
 1044 root     -2   0   0% S     1      0K      0K  fg ksdioirqd/mmc1
 1047 system   20   0   0% S    22 1554088K  48184K  fg com.togic.taskclean.service
 1054 root     18  -2   0% S     1      0K      0K  fg wlan_logging_th
 1069 wifi     20   0   0% S     1  14296K   4048K  fg /system/bin/wpa_supplicant
 1121 system   20   0   0% S    17 1558624K  64236K  bg com.togic.settings
 1171 u0_a2    20   0   0% S    13 1547948K  49864K  bg android.process.acore
 1189 u0_a1    20   0   0% S    11 1541292K  43204K  bg com.android.providers.calendar
 3117 root      0 -20   0% S     1      0K      0K  fg kworker/1:1H
 3795 u0_a4    20   0   0% S     9 1538020K  40200K  bg com.android.defcontainer
 3897 system   20   0   0% S    24 1560572K  52960K  fg com.togic.datausagestats
15489 root     20   0   0% S     1      0K      0K  fg kworker/0:1
20733 shell    20   0   0% S     1   8120K   1548K  fg logcat
20967 root     20   0   0% S     1      0K      0K  fg kworker/3:2
22280 u0_a16   20   0   0% S    27 1013168K  51512K  fg com.togic.livevideo:backend
22294 u0_a16   20   0   0% S    24 1009316K  46472K  fg com.togic.livevideo:plugin
22434 u0_a16   20   0   0% S    22 1010872K  52540K  bg com.togic.livevideo:pushservice
26414 root     20   0   0% S     1      0K      0K  fg kworker/1:2
29382 root     20   0   0% S     1      0K      0K  fg kworker/u8:2
29819 u0_a56   20   0   0% S    11 1539952K  43020K  bg com.togic.mboxsettingforwe30s
29839 root     20   0   0% S     1      0K      0K  fg kworker/u8:1
29841 root     20   0   0% S     1      0K      0K  fg kworker/3:0
