0,,
0,S,116
1,S,27
2,S,24
3,S,22
4,S,116
5,S,27
6,S,24
7,S,22
8,S,116
9,S,27
10,S,24
11,S,22
12,S,116
13,S,27
14,S,24
15,S,22
16,S,116
17,S,27
18,S,24
19,S,22
20,S,116
21,S,27
22,S,24
23,S,22
24,S,133
25,S,27
26,S,24
27,S,22
28,S,133
29,S,27
30,S,24
31,S,22
32,S,133
33,S,27
34,S,24
35,S,22
36,R,132
37,S,27
38,S,24
39,S,22
40,R,132
41,S,27
42,S,24
43,S,22
44,R,132
45,S,27
46,S,24
47,S,22
48,D,145
49,S,27
50,S,24
51,S,22
52,S,136
53,S,27
54,S,24
55,S,22
56,S,142
57,S,27
58,S,24
59,S,22
60,S,143
61,S,27
62,S,24
63,S,22
64,S,142
65,S,27
66,S,24
67,S,22
68,S,142
69,S,27
70,S,24
71,S,22
72,S,141
73,S,27
74,S,24
75,S,22
76,S,140
77,S,27
78,S,24
79,S,22
80,R,142
81,S,28
82,S,24
83,S,22
84,R,148
85,S,27
86,S,24
87,S,22
88,S,144
89,S,27
90,S,24
91,S,22
92,S,148
93,S,27
94,S,24
95,S,22
96,S,152
97,S,27
98,S,24
99,S,22
100,S,152
101,S,27
102,S,24
103,S,22
104,S,152
105,S,27
106,S,24
107,S,22
